new_clipi-j,old_clipi-j,id,name,nodding,looking_down,getting_closer,active_hand,smile,vol_mean,vol_std,pitch_mean,pitch_std,word_num,sentiment,positive,negative,neutral,w0,w1,w2,w3,w4,event_type,time_start,time_end,dialogue
clip1-1,clip1-1,0,Katie,1,0,1,0,0,52.11937156,22.90406338,194.8280118,43.55113807,52,0.285714286,0.339,0.003,0.658,0.452,0.489,0.447,0.459,0.446,all_activity,00:02.0,00:20.0,"And now I will read the instructions, because I forgot to hit record alright so folks who are watching the recording what everybody's doing right now is going to the PDF that was sent by Andrew on October 19 PDF has a lot of pages it's titled city workbook I CRM 2021."
clip1-2,clip1-2,0,Katie,1,0,0,0,0,36.60295809,61.34145406,175.5619574,42.78395975,14,0.35,0.443,0.005,0.552,0.303,0.327,0.303,0.319,0.299,all_activity,00:21.0,00:26.8,Page six and seven of that workbook as a whole bunch of inspirational quotes.
clip1-3,clip1-3,0,Katie,1,0,0,0,0,53.19032253,17.46583795,193.0312626,40.49671643,35,0.271428571,0.354,0.01,0.636,0.331,0.359,0.331,0.347,0.327,all_activity,00:27.3,00:37.3,"find one quote one that you like a lot and rewrite it three right in front of you, Nice and big on a piece of scrap paper fill up the whole page with that quote."
clip1-4,clip1-4,0,Katie,1,0,1,1,0,56.53940355,13.64355465,191.374047,23.95443254,38,0.24,0.238,0.005,0.757,0.493,0.523,0.486,0.49,0.49,all_activity,00:37.6,00:46.9,"Or do it a digital word document, if you want, but flip it landscape, make it Nice and big increase that font size to 48 or 48 point or whatever it is to make it Nice and big."
clip1-5,clip1-5,0,Katie,0,0,0,0,0,58.39815233,4.703508721,84.15592056,1.847797313,1,0,0.603,0.002,0.395,0.117,0.121,0.114,0.113,0.116,all_activity,01:32.0,01:32.4,Go.
clip1-6,clip1-6,0,Katie,0,0,0,0,0,49.42227086,13.19650747,136.7089149,40.9907841,3,0.5,0.708,0.001,0.291,0.171,0.177,0.166,0.165,0.17,all_activity,01:33.4,01:35.0,30 seconds more.
clip1-7,clip1-7,0,Katie,0,0,0,0,0,50.36278333,12.592969,225.0357478,16.90896931,2,0,0.71,0.005,0.285,0.158,0.166,0.154,0.154,0.156,all_activity,01:59.4,01:59.7,that's it.
clip1-8,clip1-8,0,Katie,0,0,0,0,0,52.93453113,18.85890793,220.7620787,58.4813884,11,0.242857143,0.453,0.002,0.545,0.211,0.223,0.207,0.206,0.209,all_activity,02:03.1,02:06.0,"All right, thumbs up if you have yours ready to go."
clip1-9,clip1-9,0,Katie,1,1,0,0,0,56.48336221,15.6283343,235.4496025,64.5237816,19,0.475,0.384,0.003,0.613,0.38,0.368,0.401,0.417,0.38,all_activity,02:07.4,02:14.6,Carla you're good you're good okay now for the next 20 seconds i'd like everybody to go on mute.
clip2-1,clip2-1,0,Katie,1,0,1,0,0,45.04166048,66.64343706,227.1272686,45.43890628,31,0.09375,0.6,0.004,0.396,0.434,0.471,0.43,0.443,0.429,all_activity,02:15.2,02:21.2,"Most people are begging them i'm just gonna put you on mute there we go, I mean each person on mute what i'd like you to do is take your phone."
