new_clipi-j,event_order,id,score,event_type
clip1-1,1,0,0.452,all_activity
clip1-2,1,0,0.303,all_activity
clip1-3,1,0,0.331,all_activity
clip1-4,1,0,0.493,all_activity
clip1-5,1,0,0.117,all_activity
clip1-6,1,0,0.171,all_activity
clip1-7,1,0,0.158,all_activity
clip1-8,1,0,0.211,all_activity
clip1-9,1,0,0.38,all_activity
clip1-1,1,1,0.165,all_activity
clip1-2,1,1,0.075,all_activity
clip1-3,1,1,0.165,all_activity
clip1-4,1,1,0.165,all_activity
clip1-5,1,1,0.075,all_activity
clip1-6,1,1,0.075,all_activity
clip1-7,1,1,0.075,all_activity
clip1-8,1,1,0.075,all_activity
clip1-9,1,1,0.075,all_activity
clip1-1,1,2,0.175,all_activity
clip1-2,1,2,0.175,all_activity
clip1-3,1,2,0.175,all_activity
clip1-4,1,2,0.225,all_activity
clip1-5,1,2,0.036,all_activity
clip1-6,1,2,0.136,all_activity
clip1-7,1,2,0.036,all_activity
clip1-8,1,2,0.036,all_activity
clip1-9,1,2,0.126,all_activity
clip1-1,1,3,0.175,all_activity
clip1-2,1,3,0.075,all_activity
clip1-3,1,3,0.165,all_activity
clip1-4,1,3,0.136,all_activity
clip1-5,1,3,0.036,all_activity
clip1-6,1,3,0.036,all_activity
clip1-7,1,3,0.036,all_activity
clip1-8,1,3,0.036,all_activity
clip1-9,1,3,0.136,all_activity
clip1-1,1,4,0.036,all_activity
clip1-2,1,4,0.036,all_activity
clip1-3,1,4,0.036,all_activity
clip1-4,1,4,0.136,all_activity
clip1-5,1,4,0.036,all_activity
clip1-6,1,4,0.036,all_activity
clip1-7,1,4,0.036,all_activity
clip1-8,1,4,0.036,all_activity
clip1-9,1,4,0.126,all_activity
clip2-1,2,0,0.434,all_activity
clip2-2,2,0,0.442,all_activity
clip2-3,2,0,0.511,all_activity
clip2-4,2,0,0.406,all_activity
clip2-5,2,0,0.273,all_activity
clip2-1,2,1,0.136,all_activity
clip2-2,2,1,0.303,all_activity
clip2-3,2,1,0.303,all_activity
clip2-4,2,1,0.036,all_activity
clip2-5,2,1,0.036,all_activity
clip2-1,2,2,0.136,all_activity
clip2-2,2,2,0.136,all_activity
clip2-3,2,2,0.225,all_activity
clip2-4,2,2,0.126,all_activity
clip2-5,2,2,0.036,all_activity
clip2-1,2,3,0.036,all_activity
clip2-2,2,3,0.036,all_activity
clip2-3,2,3,0.214,all_activity
clip2-4,2,3,0.136,all_activity
clip2-5,2,3,0.036,all_activity
clip2-1,2,4,0.136,all_activity
clip2-2,2,4,0.136,all_activity
clip2-3,2,4,0.264,all_activity
clip2-4,2,4,0.136,all_activity
clip2-5,2,4,0.036,all_activity
clip3-1,3,0,0.375,single_question
clip3-2,3,0,0.136,single_question
clip3-3,3,0,0.158,single_question
clip3-4,3,0,0.036,single_question
clip3-5,3,0,0.308,single_question
clip3-6,3,0,0.317,single_question
clip3-7,3,0,0.136,single_question
clip3-8,3,0,0.036,single_question
clip3-1,3,1,0.225,single_question
clip3-2,3,1,0.214,single_question
clip3-3,3,1,0.036,single_question
clip3-4,3,1,0.036,single_question
clip3-5,3,1,0.036,single_question
clip3-6,3,1,0.036,single_question
clip3-7,3,1,0.036,single_question
clip3-8,3,1,0.036,single_question
clip3-1,3,2,0.136,single_question
clip3-2,3,2,0.136,single_question
clip3-3,3,2,0.036,single_question
clip3-4,3,2,0.036,single_question
clip3-5,3,2,0.036,single_question
clip3-6,3,2,0.136,single_question
clip3-7,3,2,0.225,single_question
clip3-8,3,2,0.036,single_question
clip3-1,3,3,0.136,single_question
clip3-2,3,3,0.299,single_question
clip3-3,3,3,0.036,single_question
clip3-4,3,3,0.191,single_question
clip3-5,3,3,0.136,single_question
clip3-6,3,3,0.136,single_question
clip3-7,3,3,0.329,single_question
clip3-8,3,3,0.287,single_question
clip3-1,3,4,0.136,single_question
clip3-2,3,4,0.136,single_question
clip3-3,3,4,0.036,single_question
clip3-4,3,4,0.136,single_question
clip3-5,3,4,0.036,single_question
clip3-6,3,4,0.214,single_question
clip3-7,3,4,0.136,single_question
clip3-8,3,4,0.136,single_question
clip7-1,7,0,0.426,all_question
clip7-2,7,0,0.303,all_question
clip7-3,7,0,0.327,all_question
clip7-4,7,0,0.136,all_question
clip7-5,7,0,0.036,all_question
clip7-6,7,0,0.22,all_question
clip7-7,7,0,0.213,all_question
clip7-8,7,0,0.194,all_question
clip7-1,7,1,0.136,all_question
clip7-2,7,1,0.036,all_question
clip7-3,7,1,0.036,all_question
clip7-4,7,1,0.136,all_question
clip7-5,7,1,0.036,all_question
clip7-6,7,1,0.036,all_question
clip7-7,7,1,0.036,all_question
clip7-8,7,1,0.036,all_question
clip7-1,7,2,0.225,all_question
clip7-2,7,2,0.136,all_question
clip7-3,7,2,0.136,all_question
clip7-4,7,2,0.433,all_question
clip7-5,7,2,0.3,all_question
clip7-6,7,2,0.136,all_question
clip7-7,7,2,0.036,all_question
clip7-8,7,2,0.136,all_question
clip7-1,7,3,0.136,all_question
clip7-2,7,3,0.136,all_question
clip7-3,7,3,0.136,all_question
clip7-4,7,3,0.136,all_question
clip7-5,7,3,0.136,all_question
clip7-6,7,3,0.036,all_question
clip7-7,7,3,0.036,all_question
clip7-8,7,3,0.036,all_question
clip7-1,7,4,0.254,all_question
clip7-2,7,4,0.036,all_question
clip7-3,7,4,0.126,all_question
clip7-4,7,4,0.036,all_question
clip7-5,7,4,0.036,all_question
clip7-6,7,4,0.036,all_question
clip7-7,7,4,0.036,all_question
clip7-8,7,4,0.036,all_question
clip8-1,8,0,0.348,all_activity
clip8-2,8,0,0.44,all_activity
clip8-3,8,0,0.541,all_activity
clip8-4,8,0,0.136,all_activity
clip8-5,8,0,0.216,all_activity
clip8-1,8,1,0.136,all_activity
clip8-2,8,1,0.136,all_activity
clip8-3,8,1,0.136,all_activity
clip8-4,8,1,0.136,all_activity
clip8-5,8,1,0.136,all_activity
clip8-1,8,2,0.136,all_activity
clip8-2,8,2,0.225,all_activity
clip8-3,8,2,0.136,all_activity
clip8-4,8,2,0.314,all_activity
clip8-5,8,2,0.136,all_activity
clip8-1,8,3,0.136,all_activity
clip8-2,8,3,0.136,all_activity
clip8-3,8,3,0.136,all_activity
clip8-4,8,3,0.036,all_activity
clip8-5,8,3,0.036,all_activity
clip8-1,8,4,0.225,all_activity
clip8-2,8,4,0.036,all_activity
clip8-3,8,4,0.225,all_activity
clip8-4,8,4,0.036,all_activity
clip8-5,8,4,0.136,all_activity
clip9-1,9,0,0.485,single_question
clip9-2,9,0,0.036,single_question
clip9-3,9,0,0.294,single_question
clip9-1,9,1,0.214,single_question
clip9-2,9,1,0.036,single_question
clip9-3,9,1,0.126,single_question
clip9-1,9,2,0.136,single_question
clip9-2,9,2,0.036,single_question
clip9-3,9,2,0.136,single_question
clip9-1,9,3,0.136,single_question
clip9-2,9,3,0.144,single_question
clip9-3,9,3,0.036,single_question
clip9-1,9,4,0.036,single_question
clip9-2,9,4,0.136,single_question
clip9-3,9,4,0.036,single_question
clip10-1,10,0,0.525,all_activity
clip10-2,10,0,0.34,all_activity
clip10-3,10,0,0.313,all_activity
clip10-4,10,0,0.383,all_activity
clip10-5,10,0,0.532,all_activity
clip10-6,10,0,0.036,all_activity
clip10-7,10,0,0.136,all_activity
clip10-1,10,1,0.136,all_activity
clip10-2,10,1,0.225,all_activity
clip10-3,10,1,0.136,all_activity
clip10-4,10,1,0.136,all_activity
clip10-5,10,1,0.136,all_activity
clip10-6,10,1,0.036,all_activity
clip10-7,10,1,0.136,all_activity
clip10-1,10,2,0.225,all_activity
clip10-2,10,2,0.136,all_activity
clip10-3,10,2,0.136,all_activity
clip10-4,10,2,0.136,all_activity
clip10-5,10,2,0.225,all_activity
clip10-6,10,2,0.036,all_activity
clip10-7,10,2,0.293,all_activity
clip10-1,10,3,0.136,all_activity
clip10-2,10,3,0.225,all_activity
clip10-3,10,3,0.175,all_activity
clip10-4,10,3,0.036,all_activity
clip10-5,10,3,0.136,all_activity
clip10-6,10,3,0.036,all_activity
clip10-7,10,3,0.303,all_activity
clip10-1,10,4,0.214,all_activity
clip10-2,10,4,0.225,all_activity
clip10-3,10,4,0.036,all_activity
clip10-4,10,4,0.136,all_activity
clip10-5,10,4,0.136,all_activity
clip10-6,10,4,0.143,all_activity
clip10-7,10,4,0.136,all_activity
clip11-1,11,0,0.312,none
clip11-2,11,0,0.409,none
clip11-3,11,0,0.425,none
clip11-4,11,0,0.479,none
clip11-5,11,0,0.232,none
clip11-6,11,0,0.302,none
clip11-7,11,0,0.461,none
clip11-1,11,1,0.036,none
clip11-2,11,1,0.136,none
clip11-3,11,1,0.225,none
clip11-4,11,1,0.225,none
clip11-5,11,1,0.036,none
clip11-6,11,1,0.036,none
clip11-7,11,1,0.136,none
clip11-1,11,2,0.136,none
clip11-2,11,2,0.136,none
clip11-3,11,2,0.136,none
clip11-4,11,2,0.136,none
clip11-5,11,2,0.136,none
clip11-6,11,2,0.036,none
clip11-7,11,2,0.136,none
clip11-1,11,3,0.036,none
clip11-2,11,3,0.214,none
clip11-3,11,3,0.136,none
clip11-4,11,3,0.136,none
clip11-5,11,3,0.036,none
clip11-6,11,3,0.225,none
clip11-7,11,3,0.225,none
clip11-1,11,4,0.214,none
clip11-2,11,4,0.136,none
clip11-3,11,4,0.214,none
clip11-4,11,4,0.136,none
clip11-5,11,4,0.165,none
clip11-6,11,4,0.036,none
clip11-7,11,4,0.214,none
clip12-1,12,0,0.438,all_activity
clip12-2,12,0,0.183,all_activity
clip12-3,12,0,0.371,all_activity
clip12-4,12,0,0.136,all_activity
clip12-5,12,0,0.292,all_activity
clip12-6,12,0,0.356,all_activity
clip12-1,12,1,0.136,all_activity
clip12-2,12,1,0.136,all_activity
clip12-3,12,1,0.225,all_activity
clip12-4,12,1,0.036,all_activity
clip12-5,12,1,0.036,all_activity
clip12-6,12,1,0.136,all_activity
clip12-1,12,2,0.136,all_activity
clip12-2,12,2,0.036,all_activity
clip12-3,12,2,0.136,all_activity
clip12-4,12,2,0.305,all_activity
clip12-5,12,2,0.136,all_activity
clip12-6,12,2,0.136,all_activity
clip12-1,12,3,0.264,all_activity
clip12-2,12,3,0.136,all_activity
clip12-3,12,3,0.136,all_activity
clip12-4,12,3,0.036,all_activity
clip12-5,12,3,0.136,all_activity
clip12-6,12,3,0.136,all_activity
clip12-1,12,4,0.136,all_activity
clip12-2,12,4,0.115,all_activity
clip12-3,12,4,0.136,all_activity
clip12-4,12,4,0.036,all_activity
clip12-5,12,4,0.036,all_activity
clip12-6,12,4,0.136,all_activity
clip13-1,13,0,0.433,single_question
clip13-2,13,0,0.036,single_question
clip13-3,13,0,0.208,single_question
clip13-4,13,0,0.036,single_question
clip13-5,13,0,0.272,single_question
clip13-1,13,1,0.136,single_question
clip13-2,13,1,0.036,single_question
clip13-3,13,1,0.136,single_question
clip13-4,13,1,0.136,single_question
clip13-5,13,1,0.136,single_question
clip13-1,13,2,0.136,single_question
clip13-2,13,2,0.036,single_question
clip13-3,13,2,0.036,single_question
clip13-4,13,2,0.136,single_question
clip13-5,13,2,0.136,single_question
clip13-1,13,3,0.136,single_question
clip13-2,13,3,0.166,single_question
clip13-3,13,3,0.036,single_question
clip13-4,13,3,0.255,single_question
clip13-5,13,3,0.136,single_question
clip13-1,13,4,0.136,single_question
clip13-2,13,4,0.036,single_question
clip13-3,13,4,0.036,single_question
clip13-4,13,4,0.036,single_question
clip13-5,13,4,0.136,single_question
clip14-1,14,0,0.329,none
clip14-2,14,0,0.466,none
clip14-3,14,0,0.433,none
clip14-4,14,0,0.417,none
clip14-5,14,0,0.329,none
clip14-1,14,1,0.136,none
clip14-2,14,1,0.136,none
clip14-3,14,1,0.136,none
clip14-4,14,1,0.036,none
clip14-5,14,1,0.136,none
clip14-1,14,2,0.136,none
clip14-2,14,2,0.136,none
clip14-3,14,2,0.136,none
